# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -300 ps, Average over 80 waveforms. Date: 2023-3-20
# Time [ps] 	 THz Signal [a.u.]
-293.44880117	0.00026050
-293.41544476	-0.00021569
-293.38208835	0.00068597
-293.34873194	-0.00040369
-293.31537553	0.00036435
-293.28201912	0.00023851
-293.24866271	-0.00029352
-293.21530630	-0.00141819
-293.18194989	-0.00018254
-293.14859348	0.00003170
-293.11523708	0.00044445
-293.08188067	0.00075868
-293.04852426	-0.00040553
-293.01516785	-0.00009396
-292.98181144	-0.00050512
-292.94845503	0.00005684
-292.91509862	-0.00025512
-292.88174221	-0.00079853
-292.84838580	0.00032261
-292.81502939	0.00067648
-292.78167298	-0.00081822
-292.74831657	-0.00066143
-292.71496016	0.00004630
-292.68160375	-0.00002284
-292.64824734	-0.00062713
-292.61489093	0.00057359
-292.58153452	0.00028131
-292.54817811	0.00019713
-292.51482170	-0.00002535
-292.48146529	0.00021715
-292.44810888	0.00000395
-292.41475248	0.00033370
-292.38139607	0.00030652
-292.34803966	-0.00123480
-292.31468325	-0.00037696
-292.28132684	-0.00023192
-292.24797043	-0.00095386
-292.21461402	0.00040358
-292.18125761	-0.00024158
-292.14790120	0.00035907
-292.11454479	-0.00038972
-292.08118838	0.00122983
-292.04783197	-0.00020944
-292.01447556	-0.00027754
-291.98111915	0.00046364
-291.94776274	0.00009668
-291.91440633	0.00140802
-291.88104992	-0.00049743
-291.84769351	-0.00040293
-291.81433710	0.00018716
-291.78098069	-0.00011450
-291.74762428	0.00055539
-291.71426788	0.00022765
-291.68091147	-0.00031604
-291.64755506	0.00006469
-291.61419865	-0.00025873
-291.58084224	-0.00016864
-291.54748583	0.00039853
-291.51412942	-0.00077451
-291.48077301	-0.00037883
-291.44741660	-0.00012367
-291.41406019	0.00025485
-291.38070378	-0.00114256
-291.34734737	0.00082217
-291.31399096	0.00004421
-291.28063455	0.00078725
-291.24727814	0.00025225
-291.21392173	-0.00001123
-291.18056532	-0.00135003
-291.14720891	-0.00052805
-291.11385250	0.00014718
-291.08049609	-0.00091654
-291.04713968	-0.00045318
-291.01378328	-0.00096363
-290.98042687	-0.00177377
-290.94707046	-0.00080843
-290.91371405	-0.00038988
-290.88035764	-0.00043619
-290.84700123	-0.00085014
-290.81364482	0.00037787
-290.78028841	-0.00073640
-290.74693200	-0.00071370
-290.71357559	-0.00039354
-290.68021918	-0.00023822
-290.64686277	-0.00019660
-290.61350636	-0.00030148
-290.58014995	-0.00102316
-290.54679354	-0.00004794
-290.51343713	-0.00121759
-290.48008072	-0.00046348
-290.44672431	-0.00083852
-290.41336790	0.00012465
-290.38001149	0.00033783
-290.34665508	-0.00120147
-290.31329868	-0.00104146
-290.27994227	-0.00084073
-290.24658586	-0.00065707
-290.21322945	-0.00131195
-290.17987304	-0.00067502
-290.14651663	-0.00012947
-290.11316022	-0.00021102
-290.07980381	-0.00003650
-290.04644740	-0.00090266
-290.01309099	-0.00086639
-289.97973458	-0.00050803
-289.94637817	-0.00047508
-289.91302176	-0.00154040
-289.87966535	-0.00074856
-289.84630894	-0.00159509
-289.81295253	-0.00034951
-289.77959612	-0.00088706
-289.74623971	0.00002612
-289.71288330	-0.00078921
-289.67952689	0.00009374
-289.64617049	-0.00132189
-289.61281408	-0.00110490
-289.57945767	-0.00095255
-289.54610126	-0.00049043
-289.51274485	-0.00036860
-289.47938844	0.00005764
-289.44603203	-0.00109841
-289.41267562	-0.00136119
-289.37931921	-0.00096392
-289.34596280	-0.00099964
-289.31260639	-0.00067021
-289.27924998	-0.00027374
-289.24589357	-0.00120503
-289.21253716	-0.00084639
-289.17918075	-0.00058893
-289.14582434	-0.00219541
-289.11246793	0.00007412
-289.07911152	-0.00102973
-289.04575511	-0.00021092
-289.01239870	-0.00070745
-288.97904229	-0.00099245
-288.94568589	-0.00117497
-288.91232948	-0.00055366
-288.87897307	-0.00164366
-288.84561666	-0.00200831
-288.81226025	-0.00018643
-288.77890384	-0.00020651
-288.74554743	-0.00028567
-288.71219102	0.00000481
-288.67883461	-0.00121067
-288.64547820	-0.00075203
-288.61212179	0.00000806
-288.57876538	-0.00082684
-288.54540897	-0.00112635
-288.51205256	-0.00034762
-288.47869615	-0.00118812
-288.44533974	-0.00173427
-288.41198333	-0.00214279
-288.37862692	-0.00147257
-288.34527051	-0.00056780
-288.31191410	-0.00109879
-288.27855769	-0.00090994
-288.24520129	-0.00104115
-288.21184488	-0.00164580
-288.17848847	-0.00102306
-288.14513206	-0.00066215
-288.11177565	-0.00173822
-288.07841924	-0.00163924
-288.04506283	-0.00042457
-288.01170642	-0.00214119
-287.97835001	-0.00087727
-287.94499360	-0.00140912
-287.91163719	-0.00063417
-287.87828078	0.00000991
-287.84492437	-0.00147417
-287.81156796	-0.00059215
-287.77821155	-0.00031908
-287.74485514	-0.00077590
-287.71149873	-0.00062165
-287.67814232	-0.00166117
-287.64478591	-0.00099112
-287.61142950	-0.00126876
-287.57807309	-0.00154199
-287.54471669	-0.00060837
-287.51136028	-0.00063387
-287.47800387	-0.00108986
-287.44464746	-0.00113070
-287.41129105	-0.00080561
-287.37793464	-0.00065822
-287.34457823	-0.00193652
-287.31122182	-0.00092435
-287.27786541	-0.00153136
-287.24450900	-0.00256928
-287.21115259	-0.00115499
-287.17779618	-0.00142422
-287.14443977	-0.00134931
-287.11108336	-0.00141786
-287.07772695	-0.00110731
-287.04437054	-0.00119411
-287.01101413	-0.00086122
-286.97765772	-0.00089897
-286.94430131	-0.00083287
-286.91094490	-0.00132956
-286.87758849	-0.00213141
-286.84423209	-0.00121100
-286.81087568	-0.00143286
-286.77751927	0.00004382
-286.74416286	-0.00139730
-286.71080645	0.00024685
-286.67745004	-0.00159156
-286.64409363	-0.00161974
-286.61073722	-0.00143492
-286.57738081	-0.00153151
-286.54402440	-0.00159110
-286.51066799	-0.00197539
-286.47731158	-0.00108444
-286.44395517	-0.00102699
-286.41059876	-0.00167315
-286.37724235	-0.00121762
-286.34388594	-0.00138162
-286.31052953	-0.00113080
-286.27717312	-0.00074709
-286.24381671	-0.00220748
-286.21046030	-0.00064367
-286.17710389	-0.00166456
-286.14374749	-0.00036569
-286.11039108	-0.00169086
-286.07703467	-0.00087361
-286.04367826	-0.00117720
-286.01032185	-0.00215520
-285.97696544	-0.00180619
-285.94360903	-0.00167366
-285.91025262	-0.00134258
-285.87689621	-0.00122805
-285.84353980	-0.00146606
-285.81018339	-0.00133182
-285.77682698	-0.00200769
-285.74347057	-0.00171391
-285.71011416	-0.00139456
-285.67675775	-0.00224538
-285.64340134	-0.00132772
-285.61004493	-0.00117645
-285.57668852	-0.00203901
-285.54333211	-0.00112885
-285.50997570	-0.00089463
-285.47661930	0.00032281
-285.44326289	-0.00107614
-285.40990648	-0.00150620
-285.37655007	-0.00118249
-285.34319366	-0.00126913
-285.30983725	-0.00119957
-285.27648084	-0.00196371
-285.24312443	-0.00102775
-285.20976802	-0.00115519
-285.17641161	-0.00133708
-285.14305520	-0.00105811
-285.10969879	-0.00213788
-285.07634238	-0.00219797
-285.04298597	-0.00176702
-285.00962956	-0.00197200
-284.97627315	-0.00093975
-284.94291674	-0.00149718
-284.90956033	-0.00078621
-284.87620392	-0.00179700
-284.84284751	-0.00123201
-284.80949110	-0.00128874
-284.77613470	-0.00139997
-284.74277829	-0.00112798
-284.70942188	-0.00231476
-284.67606547	-0.00107010
-284.64270906	-0.00113222
-284.60935265	-0.00136604
-284.57599624	-0.00095646
-284.54263983	-0.00083787
-284.50928342	-0.00147397
-284.47592701	-0.00083791
-284.44257060	-0.00171179
-284.40921419	-0.00054655
-284.37585778	-0.00134942
-284.34250137	-0.00164891
-284.30914496	-0.00161042
-284.27578855	-0.00329677
-284.24243214	-0.00125799
-284.20907573	-0.00172084
-284.17571932	-0.00179113
-284.14236291	-0.00232491
-284.10900650	-0.00136340
-284.07565010	-0.00171376
-284.04229369	-0.00191795
-284.00893728	-0.00048078
-283.97558087	-0.00131064
-283.94222446	-0.00133797
-283.90886805	-0.00176548
-283.87551164	-0.00175571
-283.84215523	-0.00059079
-283.80879882	-0.00133428
-283.77544241	-0.00104325
-283.74208600	-0.00242385
-283.70872959	-0.00153102
-283.67537318	-0.00240193
-283.64201677	-0.00208319
-283.60866036	-0.00155244
-283.57530395	-0.00180591
-283.54194754	-0.00189319
-283.50859113	-0.00260948
-283.47523472	-0.00141792
-283.44187831	-0.00145776
-283.40852190	-0.00195171
-283.37516550	-0.00194613
-283.34180909	-0.00255761
-283.30845268	-0.00188633
-283.27509627	-0.00216709
-283.24173986	-0.00153559
-283.20838345	-0.00220031
-283.17502704	-0.00135226
-283.14167063	-0.00234833
-283.10831422	-0.00231666
-283.07495781	-0.00148212
-283.04160140	-0.00196502
-283.00824499	-0.00189842
-282.97488858	-0.00168216
-282.94153217	-0.00238899
-282.90817576	-0.00253416
-282.87481935	-0.00169839
-282.84146294	-0.00159167
-282.80810653	-0.00235392
-282.77475012	-0.00264760
-282.74139371	-0.00272145
-282.70803730	-0.00152735
-282.67468090	-0.00253402
-282.64132449	-0.00186786
-282.60796808	-0.00139258
-282.57461167	-0.00214075
-282.54125526	-0.00103212
-282.50789885	-0.00117965
-282.47454244	-0.00251970
-282.44118603	-0.00185315
-282.40782962	-0.00186654
-282.37447321	-0.00285604
-282.34111680	-0.00390385
-282.30776039	-0.00238120
-282.27440398	-0.00186510
-282.24104757	-0.00203030
-282.20769116	-0.00284115
-282.17433475	-0.00279504
-282.14097834	-0.00272917
-282.10762193	-0.00249521
-282.07426552	-0.00193464
-282.04090911	-0.00225590
-282.00755271	-0.00182516
-281.97419630	-0.00248635
-281.94083989	-0.00269898
-281.90748348	-0.00320299
-281.87412707	-0.00248031
-281.84077066	-0.00240253
-281.80741425	-0.00174211
-281.77405784	-0.00214049
-281.74070143	-0.00175566
-281.70734502	-0.00309537
-281.67398861	-0.00238199
-281.64063220	-0.00305870
-281.60727579	-0.00297242
-281.57391938	-0.00277655
-281.54056297	-0.00225692
-281.50720656	-0.00210623
-281.47385015	-0.00201207
-281.44049374	-0.00166940
-281.40713733	-0.00217797
-281.37378092	-0.00158908
-281.34042451	-0.00197354
-281.30706811	-0.00275500
-281.27371170	-0.00326398
-281.24035529	-0.00255509
-281.20699888	-0.00349227
-281.17364247	-0.00395538
-281.14028606	-0.00267821
-281.10692965	-0.00318348
-281.07357324	-0.00276090
-281.04021683	-0.00298617
-281.00686042	-0.00249148
-280.97350401	-0.00272669
-280.94014760	-0.00284086
-280.90679119	-0.00181566
-280.87343478	-0.00145306
-280.84007837	-0.00263437
-280.80672196	-0.00171159
-280.77336555	-0.00161228
-280.74000914	-0.00390260
-280.70665273	-0.00305885
-280.67329632	-0.00361181
-280.63993991	-0.00361417
-280.60658351	-0.00358551
-280.57322710	-0.00353011
-280.53987069	-0.00281570
-280.50651428	-0.00332630
-280.47315787	-0.00333656
-280.43980146	-0.00317301
-280.40644505	-0.00334484
-280.37308864	-0.00232023
-280.33973223	-0.00327876
-280.30637582	-0.00369620
-280.27301941	-0.00414303
-280.23966300	-0.00293270
-280.20630659	-0.00317604
-280.17295018	-0.00367410
-280.13959377	-0.00254336
-280.10623736	-0.00420397
-280.07288095	-0.00237451
-280.03952454	-0.00261337
-280.00616813	-0.00334454
-279.97281172	-0.00337155
-279.93945531	-0.00351090
-279.90609891	-0.00406572
-279.87274250	-0.00246473
-279.83938609	-0.00285208
-279.80602968	-0.00271404
-279.77267327	-0.00298944
-279.73931686	-0.00324095
-279.70596045	-0.00307480
-279.67260404	-0.00366440
-279.63924763	-0.00272527
-279.60589122	-0.00301569
-279.57253481	-0.00222688
-279.53917840	-0.00217390
-279.50582199	-0.00261549
-279.47246558	-0.00363426
-279.43910917	-0.00288254
-279.40575276	-0.00312607
-279.37239635	-0.00331801
-279.33903994	-0.00280710
-279.30568353	-0.00273788
-279.27232712	-0.00242151
-279.23897071	-0.00373116
-279.20561431	-0.00310259
-279.17225790	-0.00333590
-279.13890149	-0.00344404
-279.10554508	-0.00228864
-279.07218867	-0.00400398
-279.03883226	-0.00203093
-279.00547585	-0.00268082
-278.97211944	-0.00310528
-278.93876303	-0.00305596
-278.90540662	-0.00231626
-278.87205021	-0.00297911
-278.83869380	-0.00430875
-278.80533739	-0.00343756
-278.77198098	-0.00370419
-278.73862457	-0.00203863
-278.70526816	-0.00280912
-278.67191175	-0.00282445
-278.63855534	-0.00408575
-278.60519893	-0.00246991
-278.57184252	-0.00370391
-278.53848611	-0.00296902
-278.50512971	-0.00317877
-278.47177330	-0.00375001
-278.43841689	-0.00401045
-278.40506048	-0.00306633
-278.37170407	-0.00259893
-278.33834766	-0.00322749
-278.30499125	-0.00193536
-278.27163484	-0.00336235
-278.23827843	-0.00269970
-278.20492202	-0.00267981
-278.17156561	-0.00372467
-278.13820920	-0.00242680
-278.10485279	-0.00364257
-278.07149638	-0.00259633
-278.03813997	-0.00362104
-278.00478356	-0.00334836
-277.97142715	-0.00329261
-277.93807074	-0.00225840
-277.90471433	-0.00331225
-277.87135792	-0.00346997
-277.83800152	-0.00285089
-277.80464511	-0.00360220
-277.77128870	-0.00272482
-277.73793229	-0.00326167
-277.70457588	-0.00328582
-277.67121947	-0.00386270
-277.63786306	-0.00239977
-277.60450665	-0.00403380
-277.57115024	-0.00287003
-277.53779383	-0.00311544
-277.50443742	-0.00272481
-277.47108101	-0.00268670
-277.43772460	-0.00361261
-277.40436819	-0.00304179
-277.37101178	-0.00247354
-277.33765537	-0.00347259
-277.30429896	-0.00247307
-277.27094255	-0.00288394
-277.23758614	-0.00328449
-277.20422973	-0.00355732
-277.17087332	-0.00272238
-277.13751692	-0.00452751
-277.10416051	-0.00279515
-277.07080410	-0.00295976
-277.03744769	-0.00279185
-277.00409128	-0.00281677
-276.97073487	-0.00247708
-276.93737846	-0.00328394
-276.90402205	-0.00207672
-276.87066564	-0.00386495
-276.83730923	-0.00330009
-276.80395282	-0.00301775
-276.77059641	-0.00260520
-276.73724000	-0.00296763
-276.70388359	-0.00336735
-276.67052718	-0.00200298
-276.63717077	-0.00268198
-276.60381436	-0.00325665
-276.57045795	-0.00282981
-276.53710154	-0.00257812
-276.50374513	-0.00206763
-276.47038872	-0.00342479
-276.43703232	-0.00268456
-276.40367591	-0.00342615
-276.37031950	-0.00319431
-276.33696309	-0.00306825
-276.30360668	-0.00232956
-276.27025027	-0.00341369
-276.23689386	-0.00355207
-276.20353745	-0.00316880
-276.17018104	-0.00317823
-276.13682463	-0.00404350
-276.10346822	-0.00379587
-276.07011181	-0.00344178
-276.03675540	-0.00307891
-276.00339899	-0.00258846
-275.97004258	-0.00309458
-275.93668617	-0.00313349
-275.90332976	-0.00365019
-275.86997335	-0.00187526
-275.83661694	-0.00230936
-275.80326053	-0.00328036
-275.76990412	-0.00251349
-275.73654772	-0.00223179
-275.70319131	-0.00189055
-275.66983490	-0.00330138
-275.63647849	-0.00310274
-275.60312208	-0.00356602
-275.56976567	-0.00317406
-275.53640926	-0.00404259
-275.50305285	-0.00339876
-275.46969644	-0.00351561
-275.43634003	-0.00358143
-275.40298362	-0.00339550
-275.36962721	-0.00398636
-275.33627080	-0.00331320
-275.30291439	-0.00350511
-275.26955798	-0.00323013
-275.23620157	-0.00293869
-275.20284516	-0.00189810
-275.16948875	-0.00367472
-275.13613234	-0.00331436
-275.10277593	-0.00254475
-275.06941952	-0.00250354
-275.03606312	-0.00207452
-275.00270671	-0.00185918
-274.96935030	-0.00262923
-274.93599389	-0.00207971
-274.90263748	-0.00195943
-274.86928107	-0.00230590
-274.83592466	-0.00348481
-274.80256825	-0.00240175
-274.76921184	-0.00230313
-274.73585543	-0.00197840
-274.70249902	-0.00252039
-274.66914261	-0.00315045
-274.63578620	-0.00225437
-274.60242979	-0.00225650
-274.56907338	-0.00316668
-274.53571697	-0.00381205
-274.50236056	-0.00238215
-274.46900415	-0.00321465
-274.43564774	-0.00373335
-274.40229133	-0.00318474
-274.36893492	-0.00242884
-274.33557852	-0.00332125
-274.30222211	-0.00289906
-274.26886570	-0.00265050
-274.23550929	-0.00362886
-274.20215288	-0.00306358
-274.16879647	-0.00331911
-274.13544006	-0.00276514
-274.10208365	-0.00340857
-274.06872724	-0.00269934
-274.03537083	-0.00382755
-274.00201442	-0.00470148
-273.96865801	-0.00378515
-273.93530160	-0.00327659
-273.90194519	-0.00243782
-273.86858878	-0.00295016
-273.83523237	-0.00382219
-273.80187596	-0.00283494
-273.76851955	-0.00378793
-273.73516314	-0.00284555
-273.70180673	-0.00281248
-273.66845033	-0.00451251
-273.63509392	-0.00331615
-273.60173751	-0.00396465
-273.56838110	-0.00436259
-273.53502469	-0.00338805
-273.50166828	-0.00403627
-273.46831187	-0.00341321
-273.43495546	-0.00335173
-273.40159905	-0.00391662
-273.36824264	-0.00367309
-273.33488623	-0.00367993
-273.30152982	-0.00336776
-273.26817341	-0.00447259
-273.23481700	-0.00302520
-273.20146059	-0.00475830
-273.16810418	-0.00392456
-273.13474777	-0.00420200
-273.10139136	-0.00332722
-273.06803495	-0.00405126
-273.03467854	-0.00387102
-273.00132213	-0.00408729
-272.96796573	-0.00468227
-272.93460932	-0.00443763
-272.90125291	-0.00421491
-272.86789650	-0.00537174
-272.83454009	-0.00463790
-272.80118368	-0.00484712
-272.76782727	-0.00619218
-272.73447086	-0.00362531
-272.70111445	-0.00331595
-272.66775804	-0.00432428
-272.63440163	-0.00460769
-272.60104522	-0.00438984
-272.56768881	-0.00424979
-272.53433240	-0.00478727
-272.50097599	-0.00314967
-272.46761958	-0.00430639
-272.43426317	-0.00496403
-272.40090676	-0.00599031
-272.36755035	-0.00431533
-272.33419394	-0.00419448
-272.30083753	-0.00428392
-272.26748113	-0.00484333
-272.23412472	-0.00342343
-272.20076831	-0.00450696
-272.16741190	-0.00524814
